,Unnamed: 0,PRN,Epoch_Time_of_Clock,SV_Clock_Bias,SV_Clock_Drift,SV_Clock_Drift_Rate,IODE,Crs,Del_n,M0,Cuc,e,Cus,sqrt_A,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_dot,I_dot,Codes,GPS_week,L2_P_Data_flag,SV_accuracy,SV_health,Tgd,IODC,T_Tx,Fit_Interval
23,628,2,2017-11-05 06:00:00,0.000288830604404,-9.54969436862E-12,0,42,39.4375,4.98342186524E-09,-0.876835467534,2.22586095333E-06,0.0172104020603,9.60379838943E-06,5153.61324501,21600,-5.96046447754E-08,0.82953018133,3.25962901115E-07,0.947911340952,192.90625,-1.9422155973,-8.4160648486E-09,5.37522389965E-10,1,1974,0,0,0,-2.04890966415E-08,42,14406,0
24,735,2,2017-11-05 22:00:00,0.000288281124085,-9.54969436862E-12,0,0,-1.5,4.7062674635E-09,1.23917516771,-3.16649675369E-08,0.0172132195439,1.1483207345E-05,5153.61953163,79184,-3.632158041E-07,0.829057127751,-1.30385160446E-08,0.94795014778,152.90625,-1.94198511017,-8.29070248389E-09,6.87528638327E-10,1,1974,0,0,0,-2.04890966415E-08,0,76416,0
25,737,2,2017-11-06 00:00:00,0.000288212206215,-9.54969436862E-12,0,1,5.8125,4.53268880468E-09,2.28950359229,2.40281224251E-07,0.0172134391032,1.17402523756E-05,5153.61590385,86384,1.39698386192E-07,0.828998888983,-2.47731804848E-07,0.947957915875,140.4375,-1.94209714629,-7.73282210308E-09,7.60388816103E-10,1,1974,0,0,0,-2.04890966415E-08,1,79206,0
26,747,2,2017-11-06 02:00:00,0.000288142822683,-9.54969436862E-12,0,2,14.125,4.47340062081E-09,-2.94117432356,7.39470124245E-07,0.0172126831021,1.1520460248E-05,5153.61761856,93600,1.04308128357E-07,0.828943966649,-9.49949026108E-08,0.947963444242,145.5625,-1.94205603244,-7.64210403859E-09,7.1324399519E-10,1,1974,0,0,0,-2.04890966415E-08,2,86406,0
27,758,2,2017-11-06 04:00:00,0.000288073904812,-9.54969436862E-12,0,3,18.25,4.65805116939E-09,-1.89101854671,9.01520252228E-07,0.0172146674013,1.08368694782E-05,5153.61359024,100800,3.81842255592E-07,0.828889648501,-5.21540641785E-08,0.947967944179,162.96875,-1.94199502729,-7.76568061463E-09,5.58951854017E-10,1,1974,0,0,0,-2.04890966415E-08,3,93606,0
28,771,2,2017-11-06 06:00:00,0.000288004521281,-9.54969436862E-12,0,48,7.875,4.83627287875E-09,-0.840689253145,5.34579157829E-07,0.0172146150144,1.06375664473E-05,5153.61712265,108000,-6.70552253723E-08,0.828832476199,3.1478703022E-07,0.947969124753,173.375,-1.94210711461,-8.32713257278E-09,4.61447792581E-10,1,1974,0,0,0,-2.04890966415E-08,48,100806,0
29,882,2,2017-11-06 22:00:00,0.000287453643978,-9.54969436862E-12,0,4,-49.4375,4.5412605903E-09,1.27517261649,-2.49966979027E-06,0.017219792353,1.20736658573E-05,5153.62467575,165584,-3.89292836189E-07,0.828365898959,-5.40167093277E-08,0.948001589831,142.25,-1.94175497121,-8.19391273793E-09,5.40736809573E-10,1,1974,0,0,0,-2.04890966415E-08,4,162576,0
30,887,2,2017-11-07 00:00:00,0.000287384260446,-9.54969436862E-12,0,5,-45.4375,4.39625455022E-09,2.32552812262,-2.34879553318E-06,0.0172204598784,1.25747174025E-05,5153.61989594,172784,1.35973095894E-07,0.828308483813,-2.44006514549E-07,0.948008240257,124.03125,-1.94189836791,-7.63960393445E-09,5.99310677981E-10,1,1974,0,0,0,-2.04890966415E-08,5,165606,0
31,898,2,2017-11-07 02:00:00,0.000287315342575,-9.54969436862E-12,0,49,-33.25,4.32553731885E-09,-2.90515804848,-1.6875565052E-06,0.0172191859456,1.24387443066E-05,5153.62252235,180000,1.15483999252E-07,0.828254032539,-1.09896063805E-07,0.94801258805,127.03125,-1.94185261368,-7.56995817629E-09,5.69666586043E-10,1,1974,0,0,0,-2.04890966415E-08,49,172806,0
32,910,2,2017-11-07 04:00:00,0.000287245959044,-9.54969436862E-12,0,50,-18.1875,4.5809050988E-09,-1.85508508888,-1.00582838058E-06,0.017222480732,1.12857669592E-05,5153.61501312,187200,4.15369868279E-07,0.828200274689,-3.72529029846E-08,0.948015970316,153.78125,-1.94171165567,-7.71174979676E-09,4.0430255511E-10,1,1974,0,0,0,-2.04890966415E-08,50,180006,0
33,921,2,2017-11-07 06:00:00,0.000287177041173,-9.54969436862E-12,0,51,-26.6875,4.75876965043E-09,-0.804717997906,-1.30757689476E-06,0.0172228449956,1.07660889626E-05,5153.61995316,194400,-8.56816768646E-08,0.828143254531,3.09199094772E-07,0.948015870838,170.84375,-1.94186309403,-8.31248910568E-09,3.15013121561E-10,1,1974,0,0,0,-2.04890966415E-08,51,187206,0
34,1032,2,2017-11-07 22:00:00,0.000286624301225,-9.54969436862E-12,0,95,-89.8125,4.48804408791E-09,1.31334019599,-4.61004674435E-06,0.017229213845,1.14142894745E-05,5153.62748528,252000,-3.8743019104E-07,0.827677853476,-1.15483999252E-07,0.948037720982,155.71875,-1.94139112886,-8.19534136886E-09,3.28942273195E-10,1,1974,0,0,0,-2.04890966415E-08,95,248706,0
35,1035,2,2017-11-08 00:00:00,0.000286554917693,-9.66338120634E-12,0,7,-91.5625,4.35732435719E-09,2.36135524386,-4.69759106636E-06,0.0172302712454,1.19544565678E-05,5153.62264633,259184,1.49011611938E-07,0.827620654842,-2.47731804848E-07,0.948042687589,136.25,-1.94153034161,-7.65639034796E-09,3.69658254893E-10,1,1974,0,0,0,-2.04890966415E-08,7,252006,0
36,1045,2,2017-11-08 02:00:00,0.000286485534161,-9.66338120634E-12,0,8,-77.3125,4.28446417942E-09,-2.86932571925,-3.93018126488E-06,0.0172285411973,1.20140612125E-05,5153.62599564,266400,1.54599547386E-07,0.827565886115,-1.15483999252E-07,0.94804537497,134.8125,-1.94149165766,-7.60495963424E-09,3.62157942475E-10,1,1974,0,0,0,-2.04890966415E-08,8,259206,0
37,1056,2,2017-11-08 04:00:00,0.000286416616291,-9.66338120634E-12,0,9,-51.4375,4.57733352146E-09,-1.81932297095,-2.71946191788E-06,0.0172325475141,1.06748193502E-05,5153.61603546,273600,4.30271029472E-07,0.827511775701,-3.72529029846E-09,0.94804733528,164.90625,-1.94128221461,-7.74496546604E-09,2.18223375594E-10,1,1974,0,0,0,-2.04890966415E-08,9,266406,0
38,1070,2,2017-11-08 06:00:00,0.000286347232759,-9.66338120634E-12,0,10,-55.125,4.76662712058E-09,-0.768952730311,-2.81259417534E-06,0.0172332966467,1.00322067738E-05,5153.6212635,280800,-1.15483999252E-07,0.827454296187,2.96160578728E-07,0.948045815308,184.5625,-1.94143708058,-8.37177728956E-09,1.43220251413E-10,1,1974,0,0,0,-2.04890966415E-08,10,273606,0
39,1183,2,2017-11-08 22:00:00,0.000285793095827,-9.66338120634E-12,0,17,-110.5625,4.55126100686E-09,1.34671530414,-5.74067234993E-06,0.0172393124085,9.81241464615E-06,5153.62746811,338384,-3.61353158951E-07,0.826985126656,-1.73225998878E-07,0.948056180082,187.09375,-1.94091352122,-8.2803449096E-09,1.24648049234E-10,1,1974,0,0,0,-2.04890966415E-08,17,334866,0
40,1190,2,2017-11-09 00:00:00,0.000285724177957,-9.66338120634E-12,0,59,-117.75,4.41804117201E-09,2.39702673401,-6.05173408985E-06,0.0172405118356,1.01607292891E-05,5153.62367249,345584,1.71363353729E-07,0.826927227284,-2.40281224251E-07,0.948059521387,171.46875,-1.94101563875,-7.76603777236E-09,1.47148986489E-10,1,1974,0,0,0,-2.04890966415E-08,59,338406,0
41,1201,2,2017-11-09 02:00:00,0.000285654794425,-9.66338120634E-12,0,60,-105.03125,4.35982446133E-09,-2.8336365468,-5.3234398365E-06,0.0172386894701,1.04382634163E-05,5153.62705421,352800,1.97440385818E-07,0.826871500346,-1.02445483208E-07,0.948060606873,165.53125,-1.94099437231,-7.72853621027E-09,1.58935191717E-10,1,1974,0,0,0,-2.04890966415E-08,60,345606,0
42,1211,2,2017-11-09 04:00:00,0.000285585410893,-9.66338120634E-12,0,61,-73.09375,4.64376486002E-09,-1.7836638878,-3.80352139473E-06,0.0172425538767,9.25175845623E-06,5153.61658478,360000,4.22820448875E-07,0.82681635126,3.91155481339E-08,0.948061244705,191.78125,-1.94075505793,-7.85425573271E-09,4.92877673191E-11,1,1974,0,0,0,-2.04890966415E-08,61,352806,0
43,1222,2,2017-11-09 06:00:00,0.000285516027361,-9.66338120634E-12,0,62,-71.1875,4.84984487265E-09,-0.733320984711,-3.65078449249E-06,0.0172435224522,8.70414078236E-06,5153.62106323,367200,-1.43423676491E-07,0.826757919386,2.75671482086E-07,0.948058547084,209.53125,-1.94088173493,-8.48428197583E-09,-7.85747015231E-12,1,1974,0,0,0,-2.04890966415E-08,62,360006,0
44,1333,2,2017-11-09 22:00:00,0.000284960493445,-9.66338120634E-12,0,18,-108.21875,4.69448125827E-09,1.38239763452,-5.68851828575E-06,0.0172481370391,7.83987343311E-06,5153.62526894,424784,-3.27825546265E-07,0.826281331397,-2.06753611565E-07,0.948059871025,225.15625,-1.94040178223,-8.40820737844E-09,-1.28576784311E-11,1,1974,0,0,0,-2.04890966415E-08,18,421026,0
45,1341,2,2017-11-10 00:00:00,0.000284891109914,-9.66338120634E-12,0,19,-118,4.54554648311E-09,2.43265852643,-6.09830021858E-06,0.0172491774429,7.8622251749E-06,5153.62311554,431984,1.86264514923E-07,0.826222541108,-2.16066837311E-07,0.948062040532,216.5,-1.94045173357,-7.92175854447E-09,-5.71452374714E-12,1,1974,0,0,0,-2.04890966415E-08,19,424806,0
46,1351,2,2017-11-10 02:00:00,0.000284821726382,-9.66338120634E-12,0,20,-110.03125,4.51911681078E-09,-2.79798299641,-5.55440783501E-06,0.0172477266751,8.26269388199E-06,5153.62572098,439200,2.19792127609E-07,0.826165558986,-7.82310962677E-08,0.948062028829,208.40625,-1.94045027943,-7.89461455667E-09,2.03579908492E-11,1,1974,0,0,0,-2.04890966415E-08,20,432006,0
47,1363,2,2017-11-10 04:00:00,0.00028475234285,-9.66338120634E-12,0,21,-78.78125,4.75841249269E-09,-1.74799278824,-4.04193997383E-06,0.0172507689567,7.45430588722E-06,5153.61663628,446400,4.00468707085E-07,0.826109107903,7.63684511185E-08,0.948061766967,226.1875,-1.94022735851,-8.00676208521E-09,-6.50027076237E-11,1,1974,0,0,0,-2.04890966415E-08,21,439206,0
47,1363,2,2017-11-10 06:00:00,0.000284821726382,-9.66E-12,0,22,-98.390625,4.86E-09,-3.838318445575,-3.01E-06,0.0172515647136,7.25E-06,5153.61987591,453608,5.08E-07,0.8260523913005,2.23E-07,0.9480616301845,231.03125,-1.94011517098,-8.05E-09,-9.46E-11,1,1974,0,0,0,-2.04890966415E-08,21,432006,0
48,1481,2,2017-11-10 22:00:00,0.00028412649408,-9.66338120634E-12,0,30,-86.8125,4.86305970881E-09,1.41815407341,-4.64729964733E-06,0.0172499731998,6.0610473156E-06,5153.62208366,511184,-3.07336449623E-07,0.825564374264,-2.19792127609E-07,0.948055154577,259,-1.93994333296,-8.53249826994E-09,-5.4645133332E-11,1,1974,0,0,0,-2.04890966415E-08,30,507216,0
49,1489,2,2017-11-11 00:00:00,0.000284057110548,-9.66338120634E-12,0,31,-95.71875,4.6937669428E-09,2.47070416439,-4.99933958054E-06,0.0172555049649,5.76674938202E-06,5153.62154961,518400,1.80676579475E-07,0.825504592117,-1.88127160072E-07,0.948056876431,257.375,-1.93994603936,-8.06890753096E-09,-5.85738684082E-11,1,1974,0,0,0,-2.04890966415E-08,31,511206,0
50,1500,2,2017-11-11 02:00:00,0.000283987727016,-9.66338120634E-12,0,32,-93.65625,4.70876756764E-09,-2.76225478014,-4.70131635666E-06,0.0172547574621,6.14486634731E-06,5153.62284088,525600,2.16066837311E-07,0.825446558157,-5.77419996262E-08,0.948056491684,250.53125,-1.93995823425,-8.05140680198E-09,-2.32152527227E-11,1,1974,0,0,0,-2.04890966415E-08,32,518406,0
51,1512,2,2017-11-11 04:00:00,0.000283917877823,-9.66338120634E-12,0,33,-68.75,4.89020369661E-09,-1.71221216586,-3.45706939697E-06,0.0172567156842,5.74439764023E-06,5153.61625099,532800,3.79979610443E-07,0.82538895722,1.04308128357E-07,0.948055899202,259.34375,-1.93978571086,-8.16355433052E-09,-1.05361531588E-10,1,1974,0,0,0,-2.04890966415E-08,33,525606,0
52,1524,2,2017-11-11 06:00:00,0.000283848494291,-9.66338120634E-12,0,72,-60.78125,5.12449917025E-09,-0.661960989195,-3.05660068989E-06,0.0172574765747,5.75743615627E-06,5153.61771965,540000,-1.62050127983E-07,0.825328159808,2.19792127609E-07,0.948052427698,265.375,-1.93981718261,-8.74393564859E-09,-1.27505311108E-10,1,1974,0,0,0,-2.04890966415E-08,72,532806,0
53,1629,2,2017-11-11 22:00:00,0.000283292029053,-9.66338120634E-12,0,100,-54.5,5.00770859116E-09,1.45637611296,-3.02121043205E-06,0.0172597084893,4.86336648464E-06,5153.61910248,597600,-3.11061739922E-07,0.824835602605,-2.23517417908E-07,0.948049588174,281.3125,-1.93959086041,-8.61750181068E-09,-5.35736601294E-12,1,1974,0,1,0,-2.04890966415E-08,100,593376,0
54,1635,2,2017-11-12 00:00:00,0.000283222645521,-9.66338120634E-12,0,101,-60.125,4.82020078071E-09,2.50656607089,-3.20933759212E-06,0.0172599571524,4.36790287495E-06,5153.61968994,0,1.58324837685E-07,0.704360147016,-1.67638063431E-07,0.948051577742,284.40625,-1.93956459371,-8.16784022333E-09,-1.60720980388E-11,1,1974,0,1,0,-2.04890966415E-08,101,597606,0
55,1647,2,2017-11-12 02:00:00,0.000283154658973,-9.66338120634E-12,0,35,-62.84375,4.87663170271E-09,-2.72872074642,-3.11993062496E-06,0.0172599916114,4.6007335186E-06,5153.61956787,7184,1.97440385818E-07,0.704301415244,-5.40167093277E-08,0.9480515163,281.46875,-1.93958011674,-8.16069706865E-09,2.64296723305E-11,1,1975,0,0,0,-2.04890966415E-08,35,6,0
56,1660,2,2017-11-12 04:00:00,0.000283085275441,-9.66338120634E-12,0,36,-46.71875,5.00985153757E-09,-1.67627989739,-2.25938856602E-06,0.017261008732,4.4871121645E-06,5153.61558914,14400,3.70666384697E-07,0.704242955574,1.24797224998E-07,0.948051146181,284.0625,-1.93946981857,-8.29070248389E-09,-7.21458623076E-11,1,1975,0,0,0,-2.04890966415E-08,36,7206,0
57,1670,2,2017-11-12 06:00:00,0.000283015426248,-9.66338120634E-12,0,37,-39.53125,5.25093300815E-09,-0.626066442066,-1.91479921341E-06,0.0172614468029,4.77582216263E-06,5153.61566544,21600,-1.47148966789E-07,0.704181226283,1.97440385818E-07,0.948048115015,284.28125,-1.93946185151,-8.83715381721E-09,-8.17891211309E-11,1,1975,0,0,0,-2.04890966415E-08,37,14406,0
58,1780,2,2017-11-12 22:00:00,0.00028245896101,-9.66338120634E-12,0,86,-19.9375,5.09664086698E-09,1.4923964491,-1.25356018543E-06,0.017263746704,4.40515577793E-06,5153.61713791,79200,-3.29688191414E-07,0.703684157441,-2.30967998505E-07,0.948049880757,289.25,-1.93934746449,-8.64428864075E-09,1.10004582132E-10,1,1975,0,1,0,-2.04890966415E-08,86,74166,0
59,1786,2,2017-11-13 00:00:00,0.000282388180494,-9.66338120634E-12,0,40,-21.65625,4.8973468513E-09,2.54024728295,-1.25169754028E-06,0.0172636691714,3.86498868465E-06,5153.61815834,86384,1.30385160446E-07,0.703623999324,-1.62050127983E-07,0.948052642747,293.84375,-1.93931401925,-8.19855578847E-09,9.42896418278E-11,1,1975,0,0,0,-2.04890966415E-08,40,79206,0
